"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party169",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hinchey","D","NY","legislator","Yea","D","Passed"
"party170",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hoagland","D","NE","legislator","Yea","D","Passed"
"party171",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hobson","R","OH","legislator","Nay","D","Passed"
"party172",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hochbrueckner","D","NY","legislator","Yea","D","Passed"
"party173",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hoekstra","R","MI","legislator","Nay","D","Passed"
"party174",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hoke","R","OH","legislator","Not Voting","D","Passed"
"party175",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Holden","D","PA","legislator","Yea","D","Passed"
"party176",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Horn","R","CA","legislator","Yea","D","Passed"
"party177",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Houghton","R","NY","legislator","Not Voting","D","Passed"
"party178",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hoyer","D","MD","legislator","Yea","D","Passed"
"party179",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Huffington","R","CA","legislator","Nay","D","Passed"
"party180",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hughes","D","NJ","legislator","Yea","D","Passed"
"party181",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hunter","R","CA","legislator","Not Voting","D","Passed"
"party182",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hutchinson","R","AR","legislator","Nay","D","Passed"
"party183",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hutto","D","FL","legislator","Yea","D","Passed"
"party184",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hyde","R","IL","legislator","Not Voting","D","Passed"
"party185",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Inglis","R","SC","legislator","Yea","D","Passed"
"party186",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Inhofe","R","OK","legislator","Not Voting","D","Passed"
"party187",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Inslee","D","WA","legislator","Yea","D","Passed"
"party188",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Istook","R","OK","legislator","Nay","D","Passed"
"party189",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Jacobs","D","IN","legislator","Nay","D","Passed"
"party190",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Jefferson","D","LA","legislator","Yea","D","Passed"
"party191",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Johnson (CT)","R","CT","legislator","Not Voting","D","Passed"
"party192",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Johnson (GA)","D","GA","legislator","Yea","D","Passed"
"party193",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Johnson (SD)","D","SD","legislator","Yea","D","Passed"
"party194",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Johnson, E. B.","D","TX","legislator","Yea","D","Passed"
